id,user_id,tahun_ajaran_id,nomor_pendaftaran,nik,nama_lengkap,jenis_kelamin,jenjang,tempat_lahir,tanggal_lahir,alamat,rt,rw,kelurahan,kecamatan,kabupaten,provinsi,kode_pos,no_hp,email,asal_sekolah,alamat_sekolah,tahun_lulus,status_pendaftaran,created_at,updated_at,nisn,golongan_darah,anak_ke,jumlah_saudara,hobi,cita_cita,sumber_informasi,jumlah_hafalan,npsn,is_verified_otp,nik_santri,telegram_username,preferred_notification_channel,verification_channel,verifikasi_channel,kode_verifikasi,waktu_kirim_kode,waktu_verifikasi_kode,verifikasi_status,notifikasi_whatsapp_id,notifikasi_sms_id,status_proses,payment_verified_at,data_completed_at,docs_uploaded_at,docs_verified_at,announced_at,enrolled_at,data_lengkap
4f1cbdaa-1ebe-4558-bc31-e26d1a81ec2d,adbbaa9f-729c-47c5-9ef8-014953430496,5864797b-1a92-4176-b55e-fe90711a79c2,D260001,1601078302300002,Ahmad Test Santri,L,IL,,,,,,,,,,,085886750096,,,,,draft,2026-01-13 07:14:35.109272+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,paid,,,,,,,
95cff43a-8796-438c-b453-4ef4d506d032,07e7e9e1-5ff1-48fe-ad89-0ed26b9fe33f,5864797b-1a92-4176-b55e-fe90711a79c2,A260001,1608037391900001,Aulia Test Santriwati,P,IL,,,,,,,,,,,081374990091,,,,,draft,2026-01-18 10:21:58.661529+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,paid,,,,,,,
53b5f6d4-c9a0-4c4b-b1c9-b2e6b5009b4e,,5864797b-1a92-4176-b55e-fe90711a79c2,MTA20260002,3201010220100002,Fatimah Azzahra,P,MTs,Bogor,2010-02-20,Jl. Sudirman No. 456,,,Cikole,Cibadak,Sukabumi,Jawa Barat,,081234567802,fatimah@email.com,SDN Cikole 2,,,draft,2026-01-24 01:55:17.004481+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,paid,,,,,,,
de532d18-dc13-4071-b808-2ba470e2d1b3,,5864797b-1a92-4176-b55e-fe90711a79c2,ILI20260003,3201010320110003,Muhammad Rizki,L,IL,Bandung,2011-03-10,Jl. Asia Afrika No. 789,,,Cibadak,Cibadak,Sukabumi,Jawa Barat,,081234567803,rizki@email.com,SDN Cibadak 3,,,draft,2026-01-24 01:55:17.004481+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,paid,,,,,,,
e9c6ca1c-b8ce-45a1-a094-70af0ecc71b6,,5864797b-1a92-4176-b55e-fe90711a79c2,MAA20260004,3201010420080004,Aisyah Nur Aini,P,MA,Sukabumi,2008-04-25,Jl. Raya Cibadak No. 321,,,Cibadak,Cibadak,Sukabumi,Jawa Barat,,081234567804,aisyah@email.com,MTs Al-Ikhlas,,,draft,2026-01-24 01:55:17.004481+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,data_completed,,,,,,,
efe2a4a7-0df1-48a1-8360-bceb09d4c54f,,5864797b-1a92-4176-b55e-fe90711a79c2,MAI20260005,3201010520080005,Khalid bin Walid,L,MA,Cianjur,2008-05-30,Jl. Veteran No. 654,,,Cibadak,Cibadak,Sukabumi,Jawa Barat,,081234567805,khalid@email.com,MTs Negeri 1 Cianjur,,,draft,2026-01-24 01:55:17.004481+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,data_completed,,,,,,,
59626884-1f1a-4510-857a-c949ea0f02f8,,5864797b-1a92-4176-b55e-fe90711a79c2,MTI20260001,3201010120100001,Ahmad Zaki Mubarak,L,MTs,Jakarta,2010-01-15,Jl. Merdeka No. 123,,,Cibadak,Cibadak,Sukabumi,Jawa Barat,,081234567801,ahmad.zaki@email.com,SDN Cibadak 1,,,draft,2026-01-24 01:55:17.004481+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,paid,,,,,,,
81c06db2-7c49-41c9-8eef-48fd13fb1dba,,5864797b-1a92-4176-b55e-fe90711a79c2,ILI20269168,1678097651610001,Yustinus Bae,L,IL,,2014-01-10,,,,,,,,,085676809088,,,,,draft,2026-01-25 13:26:15.689583+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,data_completed,,,,,,,
22efa8c0-726d-48e5-adc7-9dabf25133a1,,5864797b-1a92-4176-b55e-fe90711a79c2,ILI20265587,1607065784980003,Angga Test Saputra,L,IL,,2003-09-20,,,,,,,,,085678974045,,,,,draft,2026-01-26 12:16:19.220001+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,docs_uploaded,,,,,,,
4fcee939-a2bb-45d1-8d87-4e12cceb2a2e,,5864797b-1a92-4176-b55e-fe90711a79c2,MTI20263448,1658098764530002,Zaki Test Santri,L,MTs,,2012-03-12,,,,,,,,,081345678903,,,,,draft,2026-01-27 00:25:51.538654+00,2026-01-30 13:28:22.006864+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,docs_uploaded,,,,,,,
6aa75eb4-336c-4ea4-be14-7420c4641ad0,,5864797b-1a92-4176-b55e-fe90711a79c2,MTI20263419,1608070809870003,Ali Test Santri,L,MTs,,2014-09-10,,,,,,,,,085669737780,,,,,draft,2026-01-28 08:27:11.606812+00,2026-01-28 08:27:11.606812+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
6790c3db-4c8a-4878-b04d-13df2ec4c744,,5864797b-1a92-4176-b55e-fe90711a79c2,MTI20268239,1607947633300003,Daud Sulaiman Test,L,MTs,,2017-07-31,,,,,,,,,085610929088,,,,,draft,2026-01-31 09:12:21.144929+00,2026-01-31 09:12:21.144929+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
55b4a48f-9305-4154-a858-c18eac0aed86,,5864797b-1a92-4176-b55e-fe90711a79c2,ILI20263575,1603034545940001,Vitho Raid Test,L,IL,,2000-02-09,,,,,,,,,085894763003,,,,,rejected,2026-01-31 09:19:15.568044+00,2026-02-02 03:54:39.494116+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
1dcb19ce-89dd-4b6f-bbfd-34720b501419,,5864797b-1a92-4176-b55e-fe90711a79c2,ILI20262506,1609050031320002,Ersan Test Santri,L,IL,,2021-12-01,,,,,,,,,081274539832,,,,,draft,2026-01-31 09:21:51.807366+00,2026-01-31 09:21:51.807366+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
3298f10e-3ed2-487d-b4f3-e5354f760c7d,,5864797b-1a92-4176-b55e-fe90711a79c2,MTI20268043,1607069806570003,Reza Test Santri,L,MTs,,2015-01-02,,,,,,,,,085876908766,,,,,verified,2026-02-02 01:40:33.553122+00,2026-02-03 09:57:03.301996+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,"""{\""santri\"":{\""tempat_lahir\"":\""Negeri Batin\"",\""agama\"":\""Islam\"",\""kewarganegaraan\"":\""Indonesia\"",\""anak_ke\"":1,\""jumlah_saudara\"":1,\""golongan_darah\"":\""A\"",\""tinggi_badan\"":172,\""berat_badan\"":47,\""riwayat_penyakit\"":\""-\"",\""alamat_lengkap\"":\""Jl. Imam Bonjol\"",\""rt\"":\""\"",\""rw\"":\""\"",\""kelurahan\"":\""KARANG RAJA\"",\""kecamatan\"":\""PRABUMULIH TIMUR\"",\""kabupaten\"":\""KOTA PRABUMULIH\"",\""provinsi\"":\""SUMATERA SELATAN\"",\""kode_pos\"":\""32133\"",\""email\"":\""datarieza@gmail.com\"",\""asal_sekolah\"":\""SMAN 1 Prabumulih\"",\""nisn\"":\""\"",\""alamat_sekolah\"":\""\"",\""tahun_lulus\"":\""\""},\""ayah\"":{\""nama_lengkap\"":\""Abdurrahman\"",\""nik\"":\""\"",\""tempat_lahir\"":\""\"",\""tanggal_lahir\"":\""\"",\""agama\"":\""Islam\"",\""pendidikan_terakhir\"":\""SMA/MA/SMK Sederajat\"",\""pekerjaan\"":\""\"",\""penghasilan\"":\""\"",\""no_hp\"":\""\"",\""email\"":\""\"",\""alamat\"":\""\"",\""status_hidup\"":\""Sudah Meninggal\""},\""ibu\"":{\""nama_lengkap\"":\""Rumayana\"",\""nik\"":\""\"",\""tempat_lahir\"":\""\"",\""tanggal_lahir\"":\""\"",\""agama\"":\""Islam\"",\""pendidikan_terakhir\"":\""SMA/MA/SMK Sederajat\"",\""pekerjaan\"":\""\"",\""penghasilan\"":\""\"",\""no_hp\"":\""\"",\""email\"":\""\"",\""alamat\"":\""\"",\""status_hidup\"":\""Sudah Meninggal\""},\""wali\"":{\""hubungan\"":\""Paman\"",\""nama_lengkap\"":\""Rahmat\"",\""nik\"":\""1708054901330002\"",\""tempat_lahir\"":\""\"",\""tanggal_lahir\"":\""\"",\""agama\"":\""Islam\"",\""pendidikan_terakhir\"":\""\"",\""pekerjaan\"":\""\"",\""penghasilan\"":\""\"",\""no_hp\"":\""081265749088\"",\""email\"":\""\"",\""alamat\"":\""Jl. Panca Usaha\"",\""rt\"":\""\"",\""rw\"":\""\"",\""kelurahan\"":\""SIRING AGUNG\"",\""kecamatan\"":\""LUBUK LINGGAU SELATAN II\"",\""kabupaten\"":\""KOTA LUBUKLINGGAU\"",\""provinsi\"":\""SUMATERA SELATAN\"",\""kode_pos\"":\""\""},\""wali_sama_dengan_ortu\"":false}"""
39f200d5-d758-435e-9234-aa9d48055053,a0bd413e-db52-4b2c-bbc4-68efb8775fad,11111111-1111-1111-1111-111111111111,REG-2025-001,3201000000000001,Ahmad Draft,L,MTs,,,,,,,,,,,,,,,,draft,2026-02-03 02:43:26.357+00,2026-02-03 02:43:26.357+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
30534ab1-6bfe-42a4-8fb3-b55090f53285,7e475bf2-9faf-4d2d-ae73-c9748e22ee40,11111111-1111-1111-1111-111111111111,REG-2025-002,3201000000000002,Budi Pending,L,MA,Jakarta,2010-01-01,Jl. Merdeka No. 1,,,,,,,,081234567892,,,,,payment_verification,2026-02-03 02:44:55.068+00,2026-02-03 02:44:55.068+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,verified,,,draft,,,,,,,
