id,user_id,tahun_ajaran_id,nomor_pendaftaran,nik,nama_lengkap,jenis_kelamin,jenjang,tempat_lahir,tanggal_lahir,alamat,rt,rw,kelurahan,kecamatan,kabupaten,provinsi,kode_pos,no_hp,email,asal_sekolah,npsn,alamat_sekolah,tahun_lulus,nisn,golongan_darah,anak_ke,jumlah_saudara,hobi,cita_cita,sumber_informasi,jumlah_hafalan,status_pendaftaran,data_lengkap,verifikasi_channel,kode_verifikasi,waktu_kirim_kode,waktu_verifikasi_kode,verifikasi_status,notifikasi_whatsapp_id,notifikasi_sms_id,created_at,updated_at
4f1cbdaa-1ebe-4558-bc31-e26d1a81ec2d,adbbaa9f-729c-47c5-9ef8-014953430496,5864797b-1a92-4176-b55e-fe90711a79c2,D260001,1601078302300002,Ahmad Test Santri,L,IL,,,,,,,,,,,085886750096,,,,,,,,,,,,,,draft,,whatsapp_manual,,,,pending,,,2026-01-13 07:14:35.109272+00,2026-01-30 13:28:22.006864+00
95cff43a-8796-438c-b453-4ef4d506d032,07e7e9e1-5ff1-48fe-ad89-0ed26b9fe33f,5864797b-1a92-4176-b55e-fe90711a79c2,A260001,1608037391900001,Aulia Test Santriwati,P,IL,,,,,,,,,,,081374990091,,,,,,,,,,,,,,draft,,whatsapp_manual,,,,pending,,,2026-01-18 10:21:58.661529+00,2026-01-30 13:28:22.006864+00
39f200d5-d758-435e-9234-aa9d48055053,a0bd413e-db52-4b2c-bbc4-68efb8775fad,11111111-1111-1111-1111-111111111111,REG-2025-001,3201000000000001,Ahmad Draft,L,MTs,,,,,,,,,,,,,,,,,,,,,,,,,draft,,whatsapp_manual,,,,pending,,,2026-02-03 02:43:26.357+00,2026-02-03 02:43:26.357+00
30534ab1-6bfe-42a4-8fb3-b55090f53285,7e475bf2-9faf-4d2d-ae73-c9748e22ee40,11111111-1111-1111-1111-111111111111,REG-2025-002,3201000000000002,Budi Pending,L,MA,Jakarta,2010-01-01,Jl. Merdeka No. 1,,,,,,,,081234567892,,,,,,,,,,,,,,payment_verification,,whatsapp_manual,,,,verified,,,2026-02-03 02:44:55.068+00,2026-02-03 02:44:55.068+00
eca877bc-4e03-47d7-8132-4d2b1d944bc7,254f4ca1-d702-4027-b981-daf20547bf89,11111111-1111-1111-1111-111111111111,REG-2025-003,3201000000000003,Citra Verified,P,MTs,Bandung,2010-02-02,Jl. Asia Afrika No. 10,,,,,,,,,,,,,,,,,,,,,,verified,,whatsapp_manual,,,,verified,,,2026-02-03 02:51:26.315+00,2026-02-03 02:51:26.315+00
5c16f74b-63ae-4d25-afab-bb836011a76e,61365a3a-9bd7-4ba0-b5b6-ce37fe0c2e27,11111111-1111-1111-1111-111111111111,REG-2025-004,3201000000000004,Dewi Completed,P,MA,,,,,,,,,,,,,,,,,,,,,,,,,accepted,,whatsapp_manual,,,,verified,,,2026-02-03 02:55:22.568+00,2026-02-03 02:55:22.568+00
7e22b661-d1d6-4e04-b3be-3f5d9b2ff388,94dd4993-2d80-4c27-9d41-ff9c0234ae69,11111111-1111-1111-1111-111111111111,ILI20268122,1678090373630007,Joko Test,L,IL,"",2010-09-10,"",,,,,,,,+62858765498687,"",,,,,"",,,,,,,,draft,,whatsapp_manual,,,,pending,,,2026-02-04 08:26:06.812956+00,2026-02-04 08:26:06.812956+00
563bfea9-8cdc-4b67-8437-e3bec5ba64e3,81e38bb3-1fe7-4b7f-9f00-b978c918e905,11111111-1111-1111-1111-111111111111,ILI20266900,1678090373630077,Ilham Test,L,IL,"",2010-09-10,"",,,,,,,,+6285876549860,"",,,,,"",,,,,,,,draft,,whatsapp_manual,,,,pending,,,2026-02-04 08:28:08.590567+00,2026-02-04 08:28:08.590567+00
42680581-0aa8-4ed3-b844-6b01ab87e977,132dc2e2-ada3-4c5f-813d-216bd7c0a86a,11111111-1111-1111-1111-111111111111,MTI20262192,1608076598090001,Zahwa Test Santri,L,MTs,"",2017-08-10,"",,,,,,,,+6285876543897,"",,,,,"",,,,,,,,payment_verification,,whatsapp_manual,,,,pending,,,2026-02-04 08:34:01.359217+00,2026-02-04 08:34:55.626078+00
3837ca2c-f3f6-4a85-bb65-21fdb2e5e2b1,a091171a-a4f0-4270-93f8-98ad2666fa48,11111111-1111-1111-1111-111111111111,ILI20266415,1606010704650002,Daud Test Santri,L,IL,"",2015-10-20,"",,,,,,,,+6281276548890,"",,,,,"",,,,,,,,verified,,whatsapp_manual,,,,pending,,,2026-02-04 14:07:41.851653+00,2026-02-04 14:14:33.920581+00
becc0a08-c729-4140-b151-b8dba14cf257,a16a27b6-4722-4c42-b4fe-1aa1c5cee568,11111111-1111-1111-1111-111111111111,MTI20262378,3322025835858000,wahab rajasam,L,MTs,"",1986-06-04,"",,,,,,,,+6281326611671,"",,,,,"",,,,,,,,draft,,whatsapp_manual,,,,pending,,,2026-02-05 01:51:51.529678+00,2026-02-05 01:51:51.529678+00
