id,role,full_name,email,phone,created_at,updated_at
adbbaa9f-729c-47c5-9ef8-014953430496,pendaftar,"",,"",2026-01-13 07:14:34.419015+00,2026-01-13 07:14:34.419015+00
07e7e9e1-5ff1-48fe-ad89-0ed26b9fe33f,pendaftar,"",,"",2026-01-18 10:21:58.085591+00,2026-01-18 10:21:58.085591+00
1c4a9465-6438-4344-867b-148b367e388c,admin,Admin PPDB,,085876137361,2026-01-24 03:10:17.49684+00,2026-01-24 03:15:15.258649+00
7b03e8c3-04dd-4877-aa15-af63a0f2820e,penguji,Ustadz Ahmad Hidayat,,081234567890,2026-01-24 03:10:52.475018+00,2026-01-24 03:15:15.258649+00
1ea2c5a1-27bc-4b07-8c2d-3293d9793017,penguji,Ustadzah Fatimah Zahra,,081234567891,2026-01-24 03:11:18.264128+00,2026-01-24 03:15:15.258649+00
acda3f43-c50b-456d-baa9-5e9fcbbc5a84,pendaftar,"",,"",2026-02-01 09:14:00.92232+00,2026-02-01 09:14:00.92232+00
4b674467-18c7-43ce-872d-182fb0364478,admin,Admin Test,,6281234567890,2026-02-01 09:14:39.487463+00,2026-02-01 09:14:39.720081+00
555a555a-dee0-4f11-8005-f202ca2fd1e9,admin,Super Admin,,081234567890,2026-02-03 02:41:29.220712+00,2026-02-03 02:55:14.509899+00
a0bd413e-db52-4b2c-bbc4-68efb8775fad,pendaftar,Ahmad Draft,,081234567891,2026-02-03 02:41:30.0167+00,2026-02-03 02:55:15.056203+00
7e475bf2-9faf-4d2d-ae73-c9748e22ee40,pendaftar,Budi Pending,,081234567892,2026-02-03 02:41:30.861965+00,2026-02-03 02:55:15.607097+00
254f4ca1-d702-4027-b981-daf20547bf89,pendaftar,Citra Verified,,081234567893,2026-02-03 02:41:31.649659+00,2026-02-03 02:55:16.139356+00
61365a3a-9bd7-4ba0-b5b6-ce37fe0c2e27,pendaftar,Dewi Completed,,081234567894,2026-02-03 02:41:32.529239+00,2026-02-03 02:55:16.673086+00
63e227c1-72f2-4227-a70e-250ea4ac70dc,pendaftar,Randi Terano,,"",2026-02-04 08:17:04.527765+00,2026-02-04 08:17:04.527765+00
6f08422b-43b7-4391-89f9-25a34592286c,pendaftar,Joni Test,,"",2026-02-04 08:23:29.877427+00,2026-02-04 08:23:29.877427+00
94dd4993-2d80-4c27-9d41-ff9c0234ae69,pendaftar,Joko Test,,"",2026-02-04 08:26:06.682178+00,2026-02-04 08:26:06.682178+00
81e38bb3-1fe7-4b7f-9f00-b978c918e905,pendaftar,Ilham Test,,"",2026-02-04 08:28:08.456653+00,2026-02-04 08:28:08.456653+00
132dc2e2-ada3-4c5f-813d-216bd7c0a86a,pendaftar,Zahwa Test Santri,,"",2026-02-04 08:34:01.207343+00,2026-02-04 08:34:01.207343+00
a091171a-a4f0-4270-93f8-98ad2666fa48,pendaftar,Daud Test Santri,,"",2026-02-04 14:07:41.533262+00,2026-02-04 14:07:41.533262+00
a16a27b6-4722-4c42-b4fe-1aa1c5cee568,pendaftar,wahab rajasam,,"",2026-02-05 01:51:51.197238+00,2026-02-05 01:51:51.197238+00
e3de74fb-b5c1-4f46-b17a-8cf9291d7673,penguji,Penguji Tes,penguji@tes.com,-,2026-02-05 02:33:37.459279+00,2026-02-05 02:33:37.676201+00
a68b20df-133a-4a04-97f9-5f9f22e1e433,admin_keuangan,Staff Keuangan Tes,keuangan@tes.com,-,2026-02-05 02:34:33.365216+00,2026-02-05 02:34:33.540409+00
439a12e7-d619-48d3-ad30-f059698afb80,admin_berkas,Staff Berkas,berkas@tes.com,-,2026-02-05 02:35:06.639656+00,2026-02-05 02:35:06.89592+00
